date,department,total_beds,occupied_beds,occupancy_rate,admissions,discharges,avg_los,cost_per_day,alert,year_month
2023-01-09,Med-Surg,80,75,93.6,13,12,4.4,1737,WARNING,2023-01
2023-01-09,Surgery,30,25,84.7,4,4,3.6,2516,OK,2023-01
2023-01-09,Peds,25,19,75.0,2,3,2.1,2006,OK,2023-01
2023-01-10,ICU,20,20,100.0,3,2,5.8,4336,CRITICAL,2023-01
2023-01-10,ER,40,39,97.9,6,5,0.2,1229,CRITICAL,2023-01
2023-01-10,Med-Surg,80,75,93.7,8,10,3.8,1970,WARNING,2023-01
2023-01-10,Surgery,30,24,80.8,4,4,4.2,2260,OK,2023-01
2023-01-10,Peds,25,17,69.4,3,3,3.8,2181,OK,2023-01
2023-01-11,ICU,20,20,100.0,3,3,6.7,3896,CRITICAL,2023-01
2023-01-11,ER,40,39,98.6,7,5,0.7,955,CRITICAL,2023-01
2023-01-11,Med-Surg,80,72,89.4,11,5,3.6,1749,OK,2023-01
2023-01-11,Surgery,30,24,79.7,5,3,3.6,2526,OK,2023-01
2023-01-11,Peds,25,18,73.2,3,4,2.9,1904,OK,2023-01
2023-01-12,ICU,20,20,100.0,3,2,6.2,4123,CRITICAL,2023-01
2023-01-12,ER,40,40,100.0,6,6,0.1,1227,CRITICAL,2023-01
2023-01-12,Med-Surg,80,69,86.6,11,11,4.2,1675,OK,2023-01
2023-01-12,Surgery,30,25,82.3,4,3,4.2,2571,OK,2023-01
2023-01-12,Peds,25,17,68.7,4,3,3.3,2226,OK,2023-01
2023-01-13,ICU,20,20,100.0,3,3,6.5,4196,CRITICAL,2023-01
2023-01-13,ER,40,40,100.0,7,5,0.8,760,CRITICAL,2023-01
2023-01-13,Med-Surg,80,73,91.4,13,11,4.5,2061,WARNING,2023-01
2023-01-13,Surgery,30,25,82.9,5,4,4.0,2474,OK,2023-01
2023-01-13,Peds,25,18,70.4,4,3,3.9,1899,OK,2023-01
2023-01-14,ICU,20,18,89.7,3,2,6.5,4326,OK,2023-01
2023-01-14,ER,40,35,88.0,4,5,0.2,995,OK,2023-01
2023-01-14,Med-Surg,80,64,80.6,9,8,4.3,1687,OK,2023-01
2023-01-14,Surgery,30,21,71.1,4,3,3.5,2406,OK,2023-01
2023-01-14,Peds,25,16,62.2,2,2,2.5,2057,OK,2023-01
2023-01-15,ICU,20,19,94.0,3,3,6.1,4196,WARNING,2023-01
2023-01-15,ER,40,34,85.4,5,4,0.7,635,OK,2023-01
2023-01-15,Med-Surg,80,66,82.2,12,9,4.3,1938,OK,2023-01
2023-01-15,Surgery,30,22,72.0,4,3,3.8,2345,OK,2023-01
2023-01-15,Peds,25,15,61.8,3,3,3.4,2531,OK,2023-01
2023-01-16,ICU,20,20,100.0,3,3,7.3,4038,CRITICAL,2023-01
2023-01-16,ER,40,39,97.5,5,3,0.2,648,CRITICAL,2023-01
2023-01-16,Med-Surg,80,74,92.4,12,13,4.6,1685,WARNING,2023-01
2023-01-16,Surgery,30,24,80.6,4,3,4.7,2736,OK,2023-01
2023-01-16,Peds,25,17,69.2,3,4,2.8,2348,OK,2023-01
2023-01-17,ICU,20,20,100.0,3,3,6.2,4110,CRITICAL,2023-01
2023-01-17,ER,40,40,100.0,5,5,0.6,903,CRITICAL,2023-01
2023-01-17,Med-Surg,80,75,94.0,9,8,4.7,1866,WARNING,2023-01
2023-01-17,Surgery,30,24,80.9,5,4,4.4,2514,OK,2023-01
2023-01-17,Peds,25,19,74.5,4,3,3.4,2229,OK,2023-01
2023-01-18,ICU,20,20,100.0,2,3,6.7,3848,CRITICAL,2023-01
2023-01-18,ER,40,39,96.5,4,5,0.9,1100,CRITICAL,2023-01
2023-01-18,Med-Surg,80,74,92.2,14,8,3.2,1789,WARNING,2023-01
2023-01-18,Surgery,30,25,83.8,4,3,3.8,2239,OK,2023-01
2023-01-18,Peds,25,18,71.6,4,3,2.6,1888,OK,2023-01
2023-01-19,ICU,20,20,100.0,3,2,6.5,4094,CRITICAL,2023-01
2023-01-19,ER,40,39,97.7,5,4,0.2,560,CRITICAL,2023-01
2023-01-19,Med-Surg,80,78,97.4,11,9,4.2,1778,CRITICAL,2023-01
2023-01-19,Surgery,30,25,82.3,5,4,3.5,2385,OK,2023-01
2023-01-19,Peds,25,17,69.6,2,2,3.6,2429,OK,2023-01
2023-01-20,ICU,20,20,100.0,3,3,7.7,4424,CRITICAL,2023-01
2023-01-20,ER,40,40,99.7,5,4,0.6,649,CRITICAL,2023-01
2023-01-20,Med-Surg,80,70,88.1,10,8,4.9,1976,OK,2023-01
2023-01-20,Surgery,30,25,82.8,5,4,3.4,2805,OK,2023-01
2023-01-20,Peds,25,18,71.3,3,3,2.5,1823,OK,2023-01
2023-01-21,ICU,20,19,95.7,3,2,6.5,4070,CRITICAL,2023-01
2023-01-21,ER,40,35,86.8,4,4,0.5,634,OK,2023-01
2023-01-21,Med-Surg,80,65,81.6,10,9,3.6,1685,OK,2023-01
2023-01-21,Surgery,30,22,74.5,4,3,3.8,2650,OK,2023-01
2023-01-21,Peds,25,15,58.6,3,3,3.2,1947,OK,2023-01
2023-01-22,ICU,20,18,88.1,2,2,6.3,4019,OK,2023-01
2023-01-22,ER,40,36,89.7,4,4,0.1,670,OK,2023-01
2023-01-22,Med-Surg,80,65,81.1,8,8,4.6,1685,OK,2023-01
2023-01-22,Surgery,30,22,74.7,3,4,4.5,2006,OK,2023-01
2023-01-22,Peds,25,15,60.3,3,3,3.1,1979,OK,2023-01
2023-01-23,ICU,20,20,100.0,3,3,6.3,4268,CRITICAL,2023-01
2023-01-23,ER,40,40,98.8,5,5,0.7,716,CRITICAL,2023-01
2023-01-23,Med-Surg,80,74,92.8,14,11,3.9,2040,WARNING,2023-01
2023-01-23,Surgery,30,25,81.8,3,3,2.9,2430,OK,2023-01
2023-01-23,Peds,25,18,70.2,4,3,2.8,2266,OK,2023-01
2023-01-24,ICU,20,20,98.8,3,3,5.5,4429,CRITICAL,2023-01
2023-01-24,ER,40,40,100.0,5,6,1.6,836,CRITICAL,2023-01
2023-01-24,Med-Surg,80,74,92.7,10,9,4.5,1629,WARNING,2023-01
2023-01-24,Surgery,30,25,83.0,4,4,4.0,2708,OK,2023-01
2023-01-24,Peds,25,17,69.1,3,3,2.7,2175,OK,2023-01
2023-01-25,ICU,20,20,100.0,2,3,6.9,4283,CRITICAL,2023-01
2023-01-25,ER,40,40,100.0,5,4,0.4,1099,CRITICAL,2023-01
2023-01-25,Med-Surg,80,75,93.8,11,11,3.5,2289,WARNING,2023-01
2023-01-25,Surgery,30,25,83.1,4,4,4.0,2545,OK,2023-01
2023-01-25,Peds,25,17,68.5,4,4,3.6,2419,OK,2023-01
2023-01-26,ICU,20,20,100.0,2,2,6.2,4419,CRITICAL,2023-01
2023-01-26,ER,40,38,95.0,7,5,0.3,598,CRITICAL,2023-01
2023-01-26,Med-Surg,80,70,87.4,12,10,3.5,1541,OK,2023-01
2023-01-26,Surgery,30,25,82.0,5,4,3.0,2451,OK,2023-01
2023-01-26,Peds,25,17,69.6,2,3,2.8,2239,OK,2023-01
2023-01-27,ICU,20,20,100.0,3,2,5.6,4715,CRITICAL,2023-01
2023-01-27,ER,40,40,100.0,6,5,0.6,771,CRITICAL,2023-01
2023-01-27,Med-Surg,80,72,90.4,10,10,3.8,1657,WARNING,2023-01
2023-01-27,Surgery,30,25,83.1,4,5,2.5,2718,OK,2023-01
2023-01-27,Peds,25,18,72.8,2,3,2.7,1818,OK,2023-01
2023-01-28,ICU,20,18,90.9,2,3,6.7,4454,WARNING,2023-01
2023-01-28,ER,40,36,90.0,4,4,0.7,556,WARNING,2023-01
2023-01-28,Med-Surg,80,66,82.7,9,8,4.5,1889,OK,2023-01
2023-01-28,Surgery,30,22,72.1,4,3,4.1,2619,OK,2023-01
2023-01-28,Peds,25,15,61.2,3,2,3.4,2063,OK,2023-01
2023-01-29,ICU,20,18,91.6,3,2,5.5,3889,WARNING,2023-01
2023-01-29,ER,40,36,89.6,4,6,0.5,1139,OK,2023-01
2023-01-29,Med-Surg,80,65,81.5,10,8,4.3,1792,OK,2023-01
2023-01-29,Surgery,30,23,75.3,4,3,3.6,2489,OK,2023-01
2023-01-29,Peds,25,16,62.3,2,2,3.3,2134,OK,2023-01
2023-01-30,ICU,20,20,100.0,3,3,5.9,4044,CRITICAL,2023-01
2023-01-30,ER,40,40,100.0,5,5,0.4,1006,CRITICAL,2023-01
2023-01-30,Med-Surg,80,75,93.3,11,12,4.9,2003,WARNING,2023-01
2023-01-30,Surgery,30,23,78.2,3,3,3.8,2604,OK,2023-01
2023-01-30,Peds,25,17,68.6,4,3,2.6,1819,OK,2023-01
2023-01-31,ICU,20,20,100.0,2,2,6.7,4010,CRITICAL,2023-01
2023-01-31,ER,40,40,100.0,6,5,0.1,940,CRITICAL,2023-01
2023-01-31,Med-Surg,80,72,90.4,11,14,4.1,2030,WARNING,2023-01
2023-01-31,Surgery,30,24,81.1,4,5,3.5,2862,OK,2023-01
2023-01-31,Peds,25,18,71.6,3,3,3.4,2224,OK,2023-01
2023-02-01,ICU,20,20,100.0,2,2,6.2,4324,CRITICAL,2023-02
2023-02-01,ER,40,40,100.0,4,5,0.8,912,CRITICAL,2023-02
2023-02-01,Med-Surg,80,76,95.0,12,11,4.1,1468,CRITICAL,2023-02
2023-02-01,Surgery,30,25,83.9,4,4,3.2,2284,OK,2023-02
2023-02-01,Peds,25,18,72.4,3,3,2.9,2106,OK,2023-02
2023-02-02,ICU,20,20,100.0,3,3,6.0,4113,CRITICAL,2023-02
2023-02-02,ER,40,40,99.1,6,5,1.1,621,CRITICAL,2023-02
2023-02-02,Med-Surg,80,73,91.5,10,12,4.2,2006,WARNING,2023-02
2023-02-02,Surgery,30,24,79.1,4,4,3.8,2713,OK,2023-02
2023-02-02,Peds,25,17,69.1,4,4,2.7,2011,OK,2023-02
2023-02-03,ICU,20,20,100.0,3,2,6.0,4144,CRITICAL,2023-02
2023-02-03,ER,40,38,96.0,5,4,0.1,793,CRITICAL,2023-02
2023-02-03,Med-Surg,80,74,92.6,14,9,4.6,1757,WARNING,2023-02
2023-02-03,Surgery,30,25,82.7,5,3,4.0,2533,OK,2023-02
2023-02-03,Peds,25,18,71.2,4,4,2.6,1994,OK,2023-02
2023-02-04,ICU,20,18,91.4,2,2,6.8,4484,WARNING,2023-02
2023-02-04,ER,40,35,86.5,4,5,0.2,927,OK,2023-02
2023-02-04,Med-Surg,80,65,81.5,8,11,5.0,1677,OK,2023-02
2023-02-04,Surgery,30,22,72.0,4,4,4.1,2902,OK,2023-02
2023-02-04,Peds,25,15,61.4,3,2,2.5,2093,OK,2023-02
2023-02-05,ICU,20,20,98.1,2,2,6.2,4438,CRITICAL,2023-02
2023-02-05,ER,40,38,94.7,4,4,1.0,936,WARNING,2023-02
2023-02-05,Med-Surg,80,68,85.4,11,8,4.4,2022,OK,2023-02
2023-02-05,Surgery,30,22,74.7,4,4,4.4,2776,OK,2023-02
2023-02-05,Peds,25,16,62.9,3,3,3.5,1937,OK,2023-02
2023-02-06,ICU,20,20,100.0,3,3,6.8,4238,CRITICAL,2023-02
2023-02-06,ER,40,40,100.0,4,6,0.8,1233,CRITICAL,2023-02
2023-02-06,Med-Surg,80,73,91.2,11,10,4.9,1781,WARNING,2023-02
2023-02-06,Surgery,30,25,83.5,5,4,3.6,2539,OK,2023-02
2023-02-06,Peds,25,18,72.4,3,3,2.5,2339,OK,2023-02
2023-02-07,ICU,20,20,100.0,3,3,7.0,4187,CRITICAL,2023-02
2023-02-07,ER,40,39,98.4,7,4,0.6,888,CRITICAL,2023-02
2023-02-07,Med-Surg,80,72,90.6,9,11,4.2,1687,WARNING,2023-02
2023-02-07,Surgery,30,24,79.6,5,4,3.8,2869,OK,2023-02
2023-02-07,Peds,25,17,67.9,3,3,2.9,2149,OK,2023-02
2023-02-08,ICU,20,20,100.0,3,2,6.9,4184,CRITICAL,2023-02
2023-02-08,ER,40,40,100.0,6,5,0.8,890,CRITICAL,2023-02
2023-02-08,Med-Surg,80,75,93.8,13,10,4.5,1782,WARNING,2023-02
2023-02-08,Surgery,30,26,86.4,4,5,3.8,2214,OK,2023-02
2023-02-08,Peds,25,18,70.4,3,4,2.6,2011,OK,2023-02
2023-02-09,ICU,20,20,99.8,3,2,5.4,4352,CRITICAL,2023-02
2023-02-09,ER,40,40,100.0,6,4,0.5,799,CRITICAL,2023-02
2023-02-09,Med-Surg,80,71,88.8,14,11,4.0,1805,OK,2023-02
2023-02-09,Surgery,30,25,83.3,3,4,3.5,2300,OK,2023-02
2023-02-09,Peds,25,17,69.6,4,3,2.6,2215,OK,2023-02
2023-02-10,ICU,20,20,100.0,3,3,5.9,4340,CRITICAL,2023-02
2023-02-10,ER,40,40,100.0,6,6,1.0,693,CRITICAL,2023-02
2023-02-10,Med-Surg,80,77,95.6,11,13,3.8,2147,CRITICAL,2023-02
2023-02-10,Surgery,30,25,83.3,4,4,3.6,2585,OK,2023-02
2023-02-10,Peds,25,18,71.3,3,3,4.0,2446,OK,2023-02
2023-02-11,ICU,20,19,94.3,2,2,6.5,3995,WARNING,2023-02
2023-02-11,ER,40,35,87.4,4,5,0.8,703,OK,2023-02
2023-02-11,Med-Surg,80,68,84.8,8,7,4.2,2009,OK,2023-02
2023-02-11,Surgery,30,23,76.5,3,4,3.8,2465,OK,2023-02
2023-02-11,Peds,25,16,63.4,3,2,3.6,2376,OK,2023-02
2023-02-12,ICU,20,18,91.4,3,2,6.3,4090,WARNING,2023-02
2023-02-12,ER,40,35,86.3,5,5,0.8,726,OK,2023-02
2023-02-12,Med-Surg,80,66,82.8,6,10,3.2,1728,OK,2023-02
2023-02-12,Surgery,30,21,70.4,3,4,3.6,2569,OK,2023-02
2023-02-12,Peds,25,15,61.6,3,3,2.3,2299,OK,2023-02
2023-02-13,ICU,20,20,100.0,2,2,7.0,4370,CRITICAL,2023-02
2023-02-13,ER,40,40,99.0,5,5,1.5,876,CRITICAL,2023-02
2023-02-13,Med-Surg,80,75,93.2,13,10,4.0,1761,WARNING,2023-02
2023-02-13,Surgery,30,25,82.6,4,4,3.8,2647,OK,2023-02
2023-02-13,Peds,25,17,70.0,3,2,3.4,2169,OK,2023-02
2023-02-14,ICU,20,20,100.0,2,3,6.1,4422,CRITICAL,2023-02
2023-02-14,ER,40,39,96.9,6,4,0.2,1183,CRITICAL,2023-02
2023-02-14,Med-Surg,80,73,91.5,11,11,4.3,1830,WARNING,2023-02
2023-02-14,Surgery,30,25,83.7,6,4,3.9,2710,OK,2023-02
2023-02-14,Peds,25,18,72.5,4,3,2.3,2427,OK,2023-02
2023-02-15,ICU,20,20,100.0,3,2,6.2,4266,CRITICAL,2023-02
2023-02-15,ER,40,40,100.0,6,6,0.7,751,CRITICAL,2023-02
2023-02-15,Med-Surg,80,76,94.7,13,8,4.4,1940,WARNING,2023-02
2023-02-15,Surgery,30,25,82.1,5,4,3.9,2465,OK,2023-02
2023-02-15,Peds,25,18,70.2,3,2,3.7,1931,OK,2023-02
2023-02-16,ICU,20,20,100.0,2,2,5.5,4528,CRITICAL,2023-02
2023-02-16,ER,40,40,100.0,5,7,1.0,735,CRITICAL,2023-02
2023-02-16,Med-Surg,80,68,85.1,15,8,3.3,2005,OK,2023-02
2023-02-16,Surgery,30,27,88.9,5,4,4.1,2671,OK,2023-02
2023-02-16,Peds,25,18,71.7,4,3,2.9,1949,OK,2023-02
2023-02-17,ICU,20,20,100.0,2,2,5.7,3979,CRITICAL,2023-02
2023-02-17,ER,40,40,100.0,7,6,0.3,602,CRITICAL,2023-02
2023-02-17,Med-Surg,80,76,94.6,9,10,4.4,1606,WARNING,2023-02
2023-02-17,Surgery,30,25,83.1,3,3,4.0,2181,OK,2023-02
2023-02-17,Peds,25,18,71.1,3,3,3.0,2373,OK,2023-02
2023-02-18,ICU,20,19,93.5,2,2,6.5,4210,WARNING,2023-02
2023-02-18,ER,40,35,88.2,4,4,0.2,1150,OK,2023-02
2023-02-18,Med-Surg,80,62,77.9,9,8,4.5,1741,OK,2023-02
2023-02-18,Surgery,30,23,75.6,3,3,3.4,2929,OK,2023-02
2023-02-18,Peds,25,15,59.5,3,3,3.1,2063,OK,2023-02
2023-02-19,ICU,20,19,92.7,2,2,6.7,4642,WARNING,2023-02
2023-02-19,ER,40,35,86.6,4,4,1.8,639,OK,2023-02
2023-02-19,Med-Surg,80,68,84.9,12,8,4.4,2126,OK,2023-02
2023-02-19,Surgery,30,22,72.0,4,3,3.3,2370,OK,2023-02
2023-02-19,Peds,25,15,59.5,3,2,3.0,1789,OK,2023-02
2023-02-20,ICU,20,20,100.0,3,2,6.4,4446,CRITICAL,2023-02
2023-02-20,ER,40,39,96.4,7,5,0.1,789,CRITICAL,2023-02
2023-02-20,Med-Surg,80,75,93.5,11,11,3.6,1834,WARNING,2023-02
2023-02-20,Surgery,30,24,79.3,4,3,3.4,2747,OK,2023-02
2023-02-20,Peds,25,18,72.4,4,3,2.7,2343,OK,2023-02
2023-02-21,ICU,20,20,100.0,4,3,6.3,4138,CRITICAL,2023-02
2023-02-21,ER,40,40,100.0,5,6,1.0,643,CRITICAL,2023-02
2023-02-21,Med-Surg,80,71,88.3,8,11,3.5,1369,OK,2023-02
2023-02-21,Surgery,30,25,83.8,6,4,4.2,2516,OK,2023-02
2023-02-21,Peds,25,17,69.9,4,3,3.0,2164,OK,2023-02
2023-02-22,ICU,20,20,100.0,3,2,5.8,4307,CRITICAL,2023-02
2023-02-22,ER,40,39,97.4,6,5,1.0,895,CRITICAL,2023-02
2023-02-22,Med-Surg,80,74,91.9,12,12,4.4,1802,WARNING,2023-02
2023-02-22,Surgery,30,24,79.5,3,4,3.5,2463,OK,2023-02
2023-02-22,Peds,25,18,70.3,4,3,3.1,2113,OK,2023-02
2023-02-23,ICU,20,20,99.5,2,2,5.6,4320,CRITICAL,2023-02
2023-02-23,ER,40,40,100.0,7,5,1.2,830,CRITICAL,2023-02
2023-02-23,Med-Surg,80,73,91.1,10,10,3.9,1834,WARNING,2023-02
2023-02-23,Surgery,30,25,83.2,4,4,4.4,2690,OK,2023-02
2023-02-23,Peds,25,17,67.0,2,4,2.2,2055,OK,2023-02
2023-02-24,ICU,20,20,100.0,2,3,6.6,4085,CRITICAL,2023-02
2023-02-24,ER,40,37,92.3,5,5,0.2,837,WARNING,2023-02
2023-02-24,Med-Surg,80,74,92.0,12,10,3.6,2039,WARNING,2023-02
2023-02-24,Surgery,30,25,82.4,4,3,3.6,2323,OK,2023-02
2023-02-24,Peds,25,17,69.8,4,3,2.1,2394,OK,2023-02
2023-02-25,ICU,20,19,92.5,2,3,5.9,4565,WARNING,2023-02
2023-02-25,ER,40,36,89.8,5,6,0.2,948,OK,2023-02
2023-02-25,Med-Surg,80,65,81.7,12,11,4.1,1649,OK,2023-02
2023-02-25,Surgery,30,22,73.9,3,4,3.9,2427,OK,2023-02
2023-02-25,Peds,25,16,62.1,2,2,3.5,1969,OK,2023-02
2023-02-26,ICU,20,18,90.2,3,3,6.6,4399,WARNING,2023-02
2023-02-26,ER,40,34,86.0,4,5,0.3,750,OK,2023-02
2023-02-26,Med-Surg,80,67,84.2,11,10,5.2,1671,OK,2023-02
2023-02-26,Surgery,30,22,74.9,4,3,4.6,2602,OK,2023-02
2023-02-26,Peds,25,16,62.7,4,3,2.5,1891,OK,2023-02
2023-02-27,ICU,20,20,99.6,4,2,6.1,4145,CRITICAL,2023-02
2023-02-27,ER,40,40,100.0,6,6,0.2,767,CRITICAL,2023-02
2023-02-27,Med-Surg,80,74,92.8,11,13,4.3,1947,WARNING,2023-02
2023-02-27,Surgery,30,25,84.4,5,4,3.2,2580,OK,2023-02
2023-02-27,Peds,25,17,68.8,3,3,3.5,2104,OK,2023-02
2023-02-28,ICU,20,20,100.0,3,3,7.5,4313,CRITICAL,2023-02
2023-02-28,ER,40,38,94.8,6,5,1.1,935,WARNING,2023-02
2023-02-28,Med-Surg,80,73,91.6,9,10,3.7,1684,WARNING,2023-02
2023-02-28,Surgery,30,25,84.3,5,4,3.2,2589,OK,2023-02
2023-02-28,Peds,25,18,72.7,3,3,2.9,1943,OK,2023-02
2023-03-01,ICU,20,19,93.8,2,2,5.8,4113,WARNING,2023-03
2023-03-01,ER,40,36,88.9,5,6,0.3,845,OK,2023-03
2023-03-01,Med-Surg,80,66,82.2,8,6,3.3,2053,OK,2023-03
2023-03-01,Surgery,30,21,70.8,5,3,3.9,2808,OK,2023-03
2023-03-01,Peds,25,16,64.7,4,3,3.4,2219,OK,2023-03
2023-03-02,ICU,20,19,94.1,2,2,6.2,4166,WARNING,2023-03
2023-03-02,ER,40,34,85.8,5,5,0.5,1096,OK,2023-03
2023-03-02,Med-Surg,80,62,77.3,9,8,3.2,1783,OK,2023-03
2023-03-02,Surgery,30,22,71.7,4,4,3.3,2871,OK,2023-03
2023-03-02,Peds,25,16,63.2,3,3,2.4,2026,OK,2023-03
2023-03-03,ICU,20,19,95.0,3,3,6.0,3976,CRITICAL,2023-03
2023-03-03,ER,40,35,87.4,4,5,0.4,707,OK,2023-03
2023-03-03,Med-Surg,80,61,76.2,10,8,3.5,1226,OK,2023-03
2023-03-03,Surgery,30,22,71.9,5,4,3.6,2380,OK,2023-03
2023-03-03,Peds,25,15,61.9,3,3,3.3,2345,OK,2023-03
2023-03-04,ICU,20,16,80.7,2,2,5.8,4155,OK,2023-03
2023-03-04,ER,40,31,77.4,5,3,1.2,746,OK,2023-03
2023-03-04,Med-Surg,80,56,70.4,8,5,4.5,1947,OK,2023-03
2023-03-04,Surgery,30,19,62.8,3,3,3.0,2394,OK,2023-03
2023-03-04,Peds,25,14,55.0,2,3,2.2,2193,OK,2023-03
2023-03-05,ICU,20,16,80.9,2,2,5.8,4038,OK,2023-03
2023-03-05,ER,40,31,77.0,5,3,0.5,886,OK,2023-03
2023-03-05,Med-Surg,80,57,71.9,9,7,3.7,1817,OK,2023-03
2023-03-05,Surgery,30,18,61.3,2,3,4.3,2027,OK,2023-03
2023-03-05,Peds,25,13,52.1,3,3,2.9,1954,OK,2023-03
2023-03-06,ICU,20,18,91.5,3,2,5.8,4103,WARNING,2023-03
2023-03-06,ER,40,34,84.5,5,5,0.7,750,OK,2023-03
2023-03-06,Med-Surg,80,63,79.3,7,10,4.1,1764,OK,2023-03
2023-03-06,Surgery,30,24,78.9,4,3,3.6,2730,OK,2023-03
2023-03-06,Peds,25,15,61.2,2,3,2.6,2475,OK,2023-03
2023-03-07,ICU,20,19,95.0,2,3,6.2,4371,CRITICAL,2023-03
2023-03-07,ER,40,35,88.3,4,4,1.0,733,OK,2023-03
2023-03-07,Med-Surg,80,63,79.0,8,9,5.1,1586,OK,2023-03
2023-03-07,Surgery,30,22,72.1,4,3,4.0,2288,OK,2023-03
2023-03-07,Peds,25,15,61.8,3,3,3.5,2618,OK,2023-03
2023-03-08,ICU,20,19,93.6,3,2,6.0,4268,WARNING,2023-03
2023-03-08,ER,40,34,86.2,5,5,0.0,1028,OK,2023-03
2023-03-08,Med-Surg,80,67,83.2,9,6,3.8,2059,OK,2023-03
2023-03-08,Surgery,30,22,72.0,3,3,4.2,2609,OK,2023-03
2023-03-08,Peds,25,15,60.6,3,3,2.4,2423,OK,2023-03
2023-03-09,ICU,20,18,91.1,3,3,6.7,4114,WARNING,2023-03
2023-03-09,ER,40,35,88.1,5,4,0.7,564,OK,2023-03
2023-03-09,Med-Surg,80,66,82.9,9,9,4.2,1748,OK,2023-03
2023-03-09,Surgery,30,22,73.3,3,4,3.1,2525,OK,2023-03
2023-03-09,Peds,25,16,64.5,3,2,3.2,2136,OK,2023-03
2023-03-10,ICU,20,19,93.0,3,2,6.8,4282,WARNING,2023-03
2023-03-10,ER,40,35,86.4,5,6,0.4,605,OK,2023-03
2023-03-10,Med-Surg,80,66,82.7,9,6,4.5,1693,OK,2023-03
2023-03-10,Surgery,30,22,71.8,4,3,4.2,2413,OK,2023-03
2023-03-10,Peds,25,15,61.9,3,3,3.2,1913,OK,2023-03
2023-03-11,ICU,20,17,83.6,2,2,6.4,4568,OK,2023-03
2023-03-11,ER,40,30,76.0,4,4,0.3,960,OK,2023-03
2023-03-11,Med-Surg,80,54,67.0,7,7,4.6,2142,OK,2023-03
2023-03-11,Surgery,30,19,63.2,3,3,4.4,2315,OK,2023-03
